"title","course_description","expected_hours","Skills"
" learn online","designed new elearning course will prepare strategies successful online learner edx learning design team curated powerful science backed techniques can start using right away learning platform verified certificate course free use following coupon code september 1 2020 upgrade cost y5zadm5nu2an5ju7this course will help answer following questions ",5,"design, can, V349, 1"
"programming everybody getting started python "," course aims teach everyone basics programming computers using python cover basics one constructs program series simple instructions python course pre requisites avoids simplest mathematics anyone moderate computer experience able master materials course course will cover chapters 1 5 textbook python everybody student completes course will ready take advanced programming courses course covers python 3 ",21,"python, computer, programming, materials, V349, 3, mathematics, 1, 5"
"cs50 s introduction computer science"," cs50x harvard university s introduction intellectual enterprises computer science art programming majors non majors alike without prior programming experience entry level course taught david j malan cs50x teaches students think algorithmically solve problems efficiently topics include abstraction algorithms data structures encapsulation resource management security software engineering web development languages include c python sql javascript plus css html problem sets inspired real world domains biology cryptography finance forensics gaming campus version cs50x cs50 harvard s largest course students earn satisfactory score 9 problem sets e programming assignments final project eligible certificate self paced courseâ may take cs50x schedule harvardx requires individuals enroll courses edx abide terms edx honor code harvardx will take appropriate corrective action response violations edx honor code may include dismissal harvardx course revocation certificates received harvardx course remedies circumstances warrant refunds will issued case corrective action violations enrollees taking harvardx courses part another program will also governed academic policies programs harvardx pursues science learning registering online learner hx course will also participate research learning read research statement learn harvard university harvardx committed maintaining safe healthy educational work environment member community excluded participation denied benefits subjected discrimination harassment program members harvardx community expected abide harvard policies nondiscrimination including sexual harassment edx terms service questions concerns please contact harvardx harvard edu report experience edx contact form ",144,"javascript, security, python, management, development, software, html, css, web, c, engineering, project, computer, computer science, algorithms, research, data, e, programming, web development, finance, cryptography, V349, policies, case, data structures, real, biology, s, forensics, software engineering, report"
" analytics edge"," last decade amount data available organizations reached unprecedented levels data transforming business social interactions future society course will learn use data analytics give edge career life will examine real world examples analytics used significantly improve business industry examples include moneyball eharmony framingham heart study twitter ibm watson netflix examples many will teach following analytics methods linear regression logistic regression trees text analytics clustering visualization optimization will using statistical software r build models work data contents course essentially corresponding mit class analytics edge challenging class will enable apply analytics real world applications class will consist lecture videos broken small pieces usually 4 8 minutes lecture piece will ask quick question assess understanding material will also recitation one teaching assistants will go methods introduced new example data set week will homework assignment involves working r libreoffice various data sets r free statistical computing software environment ll use course see software faq info end class will final exam will similar homework assignments ",162.5,"software, applications, ibm, analytics, r, data, data analytics, V349, go, end, optimization, build, real, visualization, business, 8, 4, regression"
"marketing analytics marketing measurement strategy","begin journey new career marketing analytics learn powerful strategies methodology starting identifying market trends metrics used measure marketing success marketing course will learn execute market sizing identify market trends predict future conditions course taught stephan sorger held leadership roles marketing product development companies oracle 3com nasa also taught decade uc berkeley extension author two widely adopted marketing textbooks course will equip knowledge skills necessary immediately see practical benefits workplace analytics based marketing increasingly important determining companyâ s spending roi many entry level positions marketing now require basic level knowledge rapidly growing field ",24,"development, oracle, leadership, metrics, analytics, basic, V349, product development, s, based"
"introduction project management","project management essential skill set many careers many contexts lives introduction project management ideal starting point need manage projects work home necessarily formally trained project manager also suitable considering undertaking project near future seeking learn apply essential project management knowledge skills deliver project successfully itâ s important start clearly identifying project outcomes will course will show practical ways explore understand goals outset project consider factors may affect execution step step will learn plan scope schedule cost manage project beginning end since every project relies people delivering course also enables explore can effectively communicate manage people employ leadership skills successfully deliver project introduction project management will learn practical ways use project management skills whether project large small join us explore can benefit using project management techniques projects ",15,"management, project management, project, leadership, manager, can, project manager, V349, end, s"
"leading high performing teams"," course will blend business theory real world insights teach skills need better lead people teams within organization key topics will include motivation communication conflict management team dynamics development healthy organizational culture â people skillsâ rank among challenging competencies novice experienced leaders course will challenge understand followers deeper level well help reflect improve leadership practice course will draw knowledge psychology human resource management organizational behavior well expertise management faculty university queensland series engaging videos interviews written reflections peer feedback self insight activities simulations unpack ingredients critical developing effective people higher performing teams ",90,"management, development, communication, leadership, V349, lead, real, business, organizational"
" foundations happiness work"," course explains happiness work looks like matters cultivate begins defining happiness making case happiness work improves performance individual employees organizations whole increasing innovation productivity engagement retention quality work explores key factors empirical research linked workplace happiness zeroing practices gratitude developing strong sense purpose forming authentic cooperative connections others course will also highlight common barriers workplace happiness individual cultural level finally course presents practical framework workplace happiness explores accessible techniques evaluating happiness organization b creating effective strategy increase workplace happiness c implementing strategy work life within team across culture organization special tips workplace leaders course instructors expert faculty uc berkeleyâ s greater good science center dacher keltner ph d emiliana simon thomas ph d whose earlier edx course science happiness global phenomenon introducing half million students worldwide research based keys happy meaningful life course tailor scientific insights needs modern workplace ",10,"c, quality, performance, research, V349, framework, case, scientific, strategy, innovation, s, based"
"managing study stress mental health university"," short course german australian collaboration developed response growing need provide students knowledge skills understanding recognise identify respond mental health challenges others course primarily university students working tertiary education local community sectors grateful following organisations contribution continued support mooc course will ",4,"support, V349, collaboration, education"
"six sigma define measure","understand background meaning six sigma five steps dmaic process improvement flow define measure analyze improve control discuss quality means identify voice customer will learn set improvement project goal calculate process yield identify critical quality parameters will learn map process use necessary statistical techniques establish baseline performance process calculate process capability complement lectures provide interactive exercises allow learners see statistics action learners master statistical concepts completing practice problems reinforced using interactive case studies illustrate application statistics quality improvement situations upon successful completion program learners will earn tum lean six sigma yellow belt certification confirming mastery lean six sigma fundamentals green belt level material based american society quality www asq org body knowledge green belt level professional certificate designed preparation lean six sigma green belt exam ",28,"application, quality, project, performance, V349, statistics, case, process improvement, voice, six sigma, based"
