sector,size,required_skills
Accounting & Legal,Medium Small,"python, software, aws, analysis, azure, big data, project, computer, scala, sas, analytical, computer science, analytics, r, data, e, programming, data science, data analytics, business analysis, degree, algorithm, V349, budget, 3, optimization, solid, business, develop, modeling, 2, focus, mathematics, ml, machine learning"
Agriculture & Forestry,Small,"sql, python, database, analysis, data analysis, communication, performance, automated, tableau, analytical, bi, r, support, data, e, basic, degree, V349, statistics, sql queries, power bi, dashboard, etc., 3, ad, etc, bi tools, business, statistical analysis, requirements, s, mathematics, tools, presentation, report, sql, python, database, analysis, data analysis, communication, performance, automated, tableau, analytical, bi, r, support, data, e, basic, degree, V349, statistics, sql queries, power bi, dashboard, etc., 3, ad, etc, bi tools, business, statistical analysis, requirements, s, mathematics, tools, presentation, report, sql, java, python, development, systems, mysql, hadoop, engineering, test, nosql, quality, apache, big data, spark, automation, computer, scala, computer science, design, hive, documentation, kafka, integration, testing, postgresql, cassandra, data, programming, rdbms, data science, tdd, redis, degree, algorithm, V349, apis, framework, functional, gcp, test automation, backend, technical, distributed systems, build, solid, develop, hands, requirements, s, data processing, technology, machine learning, tools, bigquery"
"Arts, Entertainment & Recreation",Large,"sql, python, development, software, systems, agile, aws, cloud, hadoop, sdlc, etl, engineering, test, rest, scrum, nosql, software development, quality, apache, big data, spark, automation, desktop, performance, algorithms, integration, testing, analytics, healthcare, ci, data, e, developer, mobile, can, tdd, apache spark, engineer, V349, budget, test cases, technical, go, end, financial, cross, snowflake, build, kanban, real, amazon, data quality, full, develop, next, reliable, s, focus, scalability, 5, impact, solutions, frameworks, machine learning, based, high, training, sql, python, development, software, systems, agile, aws, cloud, hadoop, sdlc, etl, engineering, test, rest, scrum, nosql, software development, quality, apache, big data, spark, automation, desktop, performance, algorithms, integration, testing, analytics, healthcare, ci, data, e, developer, mobile, can, tdd, apache spark, engineer, V349, budget, test cases, technical, go, end, financial, cross, snowflake, build, kanban, real, amazon, data quality, full, develop, next, reliable, s, focus, scalability, 5, impact, solutions, frameworks, machine learning, based, high, training"
Biotech & Pharmaceuticals,Medium Large,"analysis, application, test, access, analytical, testing, data, basic, specification, validation, degree, materials, V349, technical, environmental, laboratory, objective, recruitment, 2, requirements, s, monitoring, based, report"
Business Services,Large,"sql, python, management, development, software, application, engineering, ux, engineers, software development, applications, project, communication, computer, networks, performance, analytical, computer science, design, leadership, automotive, video, testing, analytics, healthcare, support, data, programming, data science, multi, best practices, libraries, V349, statistics, iterative, lead, environmental, end, product development, client, build, creativity, real, business, transformation, develop, innovation, s, visual design, focus, mathematics, ai, evaluation, impact, solutions, frameworks, machine learning, based, energy, presentation, training, sql, java, security, python, management, development, software, agile, database, aws, system, cloud, c, engineering, ux, azure, engineers, project, computer, scala, performance, computer science, design, information security, leadership, video, kubernetes, analytics, r, support, data, data science, best practices, data analytics, degree, V349, ups, functional, gcp, production, technical, workflow, cross, client, build, creativity, mentorship, real, stack, business, hands, pyspark, databricks, focus, mathematics, impact, presentations, solutions, machine learning, software engineering, training, sql, python, management, development, software, application, engineering, ux, engineers, software development, applications, project, communication, computer, networks, performance, analytical, computer science, design, leadership, automotive, video, testing, analytics, healthcare, support, data, programming, data science, multi, best practices, libraries, V349, statistics, iterative, lead, environmental, end, product development, client, build, creativity, real, business, transformation, develop, innovation, s, visual design, focus, mathematics, ai, evaluation, impact, solutions, frameworks, machine learning, based, energy, presentation, training, sql, java, security, python, management, development, software, agile, database, aws, system, cloud, c, engineering, ux, azure, engineers, project, computer, scala, performance, computer science, design, information security, leadership, video, kubernetes, analytics, r, support, data, data science, best practices, data analytics, degree, V349, ups, functional, gcp, production, technical, workflow, cross, client, build, creativity, mentorship, real, stack, business, hands, pyspark, databricks, focus, mathematics, impact, presentations, solutions, machine learning, software engineering, training, python, management, development, project management, engineering, scripts, applications, project, access, support, data, programming, matlab, degree, V349, physics, client, recruitment, strategy, requirements, s, acquisition, report, training"
Business Services,Medium Large,"sql, management, software, analysis, system, c, project, communication, computer, computer science, documentation, implementation, t, testing, supervision, analytics, data, basic, multi, can, validation, degree, V349, statistics, consulting, sql queries, consultant, etc., financial, 3, cross, education, client, etc, business, distribution, 2, s, 4, regression, presentation, sql, python, management, software, analysis, system, excel, test, quality, data analysis, project, communication, computer, performance, sas, tableau, computer science, documentation, implementation, supervision, analytics, bi, r, data, basic, multi, degree, V349, consulting, sql queries, consultant, vba, power bi, etc., financial, 3, education, client, etc, reporting, visualization, business, ms, 2, s, ms excel, 4, regression, solutions, machine learning, presentation, python, management, systems, analysis, engineering, engineers, applications, quality, access, communication, computer, performance, analytical, computer science, algorithms, analytics, r, support, data, mobile, data science, can, degree, V349, ups, statistics, lead, production, risk, technical, risk assessment, financial, solid, digital, business, statistical analysis, develop, requirements, s, mathematics, solutions, frameworks, machine learning, tools, detail, business acumen, decision support, sql, management, software, analysis, system, c, project, communication, computer, computer science, documentation, implementation, t, testing, supervision, analytics, data, basic, multi, can, validation, degree, V349, statistics, consulting, sql queries, consultant, etc., financial, 3, cross, education, client, etc, business, distribution, 2, s, 4, regression, presentation, sql, python, management, software, analysis, system, excel, test, quality, data analysis, project, communication, computer, performance, sas, tableau, computer science, documentation, implementation, supervision, analytics, bi, r, data, basic, multi, degree, V349, consulting, sql queries, consultant, vba, power bi, etc., financial, 3, education, client, etc, reporting, visualization, business, ms, 2, s, ms excel, 4, regression, solutions, machine learning, presentation"
Business Services,Medium Small,"sql, python, systems, analysis, engineering, engineers, computer, performance, analytical, computer science, design, algorithms, testing, data, data science, can, best practices, libraries, degree, V349, statistics, data visualization, sql queries, production, etc., financial, 3, client, build, etc, solid, visualization, business, continuous improvement, develop, s, databases, mathematics, technology, regression, solutions, machine learning, accessibility, high, presentation, sql, python, management, analysis, mysql, application, etl, spark, data analysis, communication, business requirements, sales, hive, algorithms, implementation, analytics, research, teradata, r, data, e, programming, data science, data analytics, libraries, com, V349, statistics, data visualization, lead, pmo, etc., education, client, etc, digital, visualization, business, transformation, hands, pyspark, requirements, s, focus, technology, 5, ai, presentations, solutions, data mining, high, sql, java, python, analysis, system, cloud, engineering, test, nosql, big data, computer, mongodb, analytical, computer science, hive, algorithms, testing, cassandra, r, data, e, programming, hbase, engineer, specification, degree, pig, V349, statistics, functional, technical, etc., financial, ad, client, google cloud, etc, solid, business, develop, s, databases, mathematics, ml, regression, machine learning, tools, training, sql, python, management, development, software, systems, agile, unix, architecture, aws, cloud, etl, test, nosql, engineers, json, project, communication, infrastructure, performance, design, data architecture, data, e, shell, supply chain, best practices, V349, lead, gcp, data governance, technical, b2b, switch, etc., 3, client, software design, build, data structure, governance, etc, script, shell script, business, agile development, s, 8, data processing, databases, technology, datawarehouse, tools, based, high, java, python, management, systems, cloud, engineering, test, big data, project, computer, analytical, computer science, algorithms, foundation, analytics, r, data, e, programming, data science, data analytics, degree, V349, statistics, lead, etc., ad, cross, scientific, client, google cloud, build, etc, solid, business, develop, s, databases, mathematics, technology, 5, ml, solutions, machine learning, tools, based, training, sql, python, management, analysis, excel, business intelligence, data analysis, communication, tableau, automotive, r, data, e, commerce, engineer, V349, vba, technical, b2b, etc., 3, client, etc, solid, strategy, data collection, business, 2, requirements, s, tools, detail, sql, management, development, systems, agile, database, aws, cloud, etl, engineering, azure, automation, communication, analytical, design, postgresql, bi, data, e, V349, sql queries, gcp, technical, switch, product development, financial, client, build, real, solid, business, agile development, s, technology, 4, datawarehouse, impact, solutions, machine learning, bigquery, debug, sql, java, linux, python, management, oracle, database, architecture, aws, web, mysql, sql server, hadoop, etl, engineering, web services, nosql, data warehouse, quality, apache, big data, spark, amazon web services, computer, infrastructure, scala, automated, mongodb, microsoft sql server, design, integration, exchange, postgresql, cassandra, data management, analytics, bi, research, support, data, e, programming, can, apache spark, microsoft, database design, data analytics, degree, V349, statistics, apache hadoop, consulting, financial services, server, administration, deployment, retail, financial, client, data modeling, reporting, amazon, data quality, digital, business, develop, hands, modeling, procedures, s, 8, databases, technology, 5, metadata, microsoft sql, solutions, machine learning, tools, based, sql, java, python, management, development, software, systems, agile, aws, analysis, cloud, hadoop, etl, test, azure, nosql, engineers, quality, big data, spark, communication, infrastructure, performance, automated, design, postgresql, data management, kubernetes, analytics, data, best practices, storage, data analytics, V349, lead, production, technical, switch, redshift, end, storm, etc., financial, client, google cloud, software design, build, etc, solid, business, develop, elastic search, agile development, s, data processing, databases, focus, scalability, technology, solutions, data integrity, delivery, machine learning, tools, articulate, high, management, analysis, excel, automation, data analysis, data management, support, data, e, commerce, ecommerce, migration, data migration, finance, V349, financial, client, reporting, business, 2, s, 4, accounting, sql, python, management, systems, analysis, application, excel, business intelligence, risk management, quality, data analysis, communication, data management, analytics, r, data, data analytics, degree, V349, financial services, risk, financial, recruitment, data collection, business, ms, develop, requirements, 8, databases, ms excel, technology, 5, tools, presentation, java, python, management, software, systems, architecture, cloud, engineering, test, engineers, project, computer, analytical, computer science, design, algorithms, implementation, foundation, data, programming, data science, libraries, degree, V349, statistics, lead, operations, technical, etc., ad, cross, client, google cloud, build, etc, solid, business, systems design, develop, s, data processing, mathematics, software architecture, technology, 4, ai, ml, solutions, frameworks, machine learning, tools, based, training, sql, python, systems, analysis, engineering, engineers, computer, performance, analytical, computer science, design, algorithms, testing, data, data science, can, best practices, libraries, degree, V349, statistics, data visualization, sql queries, production, etc., financial, 3, client, build, etc, solid, visualization, business, continuous improvement, develop, s, databases, mathematics, technology, regression, solutions, machine learning, accessibility, high, presentation, sql, python, management, analysis, mysql, application, etl, spark, data analysis, communication, business requirements, sales, hive, algorithms, implementation, analytics, research, teradata, r, data, e, programming, data science, data analytics, libraries, com, V349, statistics, data visualization, lead, pmo, etc., education, client, etc, digital, visualization, business, transformation, hands, pyspark, requirements, s, focus, technology, 5, ai, presentations, solutions, data mining, high, sql, java, python, analysis, system, cloud, engineering, test, nosql, big data, computer, mongodb, analytical, computer science, hive, algorithms, testing, cassandra, r, data, e, programming, hbase, engineer, specification, degree, pig, V349, statistics, functional, technical, etc., financial, ad, client, google cloud, etc, solid, business, develop, s, databases, mathematics, ml, regression, machine learning, tools, training, sql, python, management, systems, analysis, application, excel, business intelligence, risk management, quality, data analysis, communication, data management, analytics, r, data, data analytics, degree, V349, financial services, risk, financial, recruitment, data collection, business, ms, develop, requirements, 8, databases, ms excel, technology, 5, tools, presentation, sql, java, linux, python, management, oracle, database, architecture, aws, web, mysql, sql server, hadoop, etl, engineering, web services, nosql, data warehouse, quality, apache, big data, spark, amazon web services, computer, infrastructure, scala, automated, mongodb, microsoft sql server, design, integration, exchange, postgresql, cassandra, data management, analytics, bi, research, support, data, e, programming, can, apache spark, microsoft, database design, data analytics, degree, V349, statistics, apache hadoop, consulting, financial services, server, administration, deployment, retail, financial, client, data modeling, reporting, amazon, data quality, digital, business, develop, hands, modeling, procedures, s, 8, databases, technology, 5, metadata, microsoft sql, solutions, machine learning, tools, based, sql, java, python, management, development, software, systems, agile, aws, analysis, cloud, hadoop, etl, test, azure, nosql, engineers, quality, big data, spark, communication, infrastructure, performance, automated, design, postgresql, data management, kubernetes, analytics, data, best practices, storage, data analytics, V349, lead, production, technical, switch, redshift, end, storm, etc., financial, client, google cloud, software design, build, etc, solid, business, develop, elastic search, agile development, s, data processing, databases, focus, scalability, technology, solutions, data integrity, delivery, machine learning, tools, articulate, high, management, analysis, excel, automation, data analysis, data management, support, data, e, commerce, ecommerce, migration, data migration, finance, V349, financial, client, reporting, business, 2, s, 4, accounting, java, python, management, software, systems, architecture, cloud, engineering, test, engineers, project, computer, analytical, computer science, design, algorithms, implementation, foundation, data, programming, data science, libraries, degree, V349, statistics, lead, operations, technical, etc., ad, cross, client, google cloud, build, etc, solid, business, systems design, develop, s, data processing, mathematics, software architecture, technology, 4, ai, ml, solutions, frameworks, machine learning, tools, based, training, sql, python, management, analysis, excel, business intelligence, data analysis, communication, tableau, automotive, r, data, e, commerce, engineer, V349, vba, technical, b2b, etc., 3, client, etc, solid, strategy, data collection, business, 2, requirements, s, tools, detail"
Business Services,Small,"sql, python, software, architecture, analysis, sql server, hadoop, pl, test, spark, tableau, documentation, r, data, e, programming, business objects, full time, V349, cognos, server, graphics, reporting, solid, business, full, statistical analysis, s, spss, 5, development, analysis, quality, data analysis, communication, quality assurance, research, support, data, can, degree, V349, statistics, consulting, risk, technical, environmental, insurance, risk assessment, scientific, visualization, reports, act, biology, s, 5, medical, presentations, development, software, analysis, project, communication, leadership, support, data, can, degree, full time, V349, consulting, technical, environmental, insurance, mentorship, full, reports, 7, act, s, medical, development, analysis, engineering, quality, communication, support, data, can, engineer, degree, full time, V349, consulting, technical, environmental, insurance, civil, 3, mentorship, full, reports, act, s, medical, presentation, sql, python, software, architecture, analysis, sql server, hadoop, pl, test, spark, tableau, documentation, r, data, e, programming, business objects, full time, V349, cognos, server, graphics, reporting, solid, business, full, statistical analysis, s, spss, 5, development, analysis, quality, data analysis, communication, quality assurance, research, support, data, can, degree, V349, statistics, consulting, risk, technical, environmental, insurance, risk assessment, scientific, visualization, reports, act, biology, s, 5, medical, presentations, development, software, analysis, project, communication, leadership, support, data, can, degree, full time, V349, consulting, technical, environmental, insurance, mentorship, full, reports, 7, act, s, medical, development, analysis, engineering, quality, communication, support, data, can, engineer, degree, full time, V349, consulting, technical, environmental, insurance, civil, 3, mentorship, full, reports, act, s, medical, presentation"
Data Analysis,Large,"network, excel, ms office, data, e, com, V349, analyst, 3, ms, word, 7, 2, ms excel, 1, 4, 5"
Data Analysis,Medium Large,"sql, python, management, aws, cloud, project management, spark, project, communication, computer, performance, tableau, bi, data, multi, V349, etc., etc, real, bi tools, organizational, data processing, 4, solutions, machine learning, tools, sql, java, management, development, .net, web, analysis, mysql, system, sql server, asp.net, c, php, big data, automation, asp, computer, desktop, design, data management, r, data, data science, basic, visual basic, algorithm, V349, analyst, statistics, data visualization, server, net, education, email, real, visualization, business, iot, requirements, 1, machine learning, communication, analytical, data, data science, degree, information technology, V349, mathematics, technology, tools, presentation, sql, python, management, aws, cloud, project management, spark, project, communication, computer, performance, tableau, bi, data, multi, V349, etc., etc, real, bi tools, organizational, data processing, 4, solutions, machine learning, tools, communication, analytical, data, data science, degree, information technology, V349, mathematics, technology, tools, presentation"
